trial c/dMass c/dEcc 
bmass10_becc16 -1.961224 0.228571
bmass10_becc17 -1.961224 0.242857
bmass10_becc18 -1.961224 0.257143
bmass10_becc19 -1.961224 0.271429
bmass10_becc20 -1.961224 0.285714
bmass10_becc21 -1.961224 0.300000
bmass10_becc22 -1.961224 0.314286
bmass10_becc23 -1.961224 0.328571
bmass10_becc24 -1.961224 0.342857
bmass10_becc25 -1.961224 0.357143
bmass10_becc26 -1.961224 0.371429
bmass10_becc27 -1.961224 0.385714
bmass10_becc28 -1.961224 0.400000
bmass10_becc29 -1.961224 0.414286
bmass10_becc30 -1.961224 0.428571
bmass10_becc31 -1.961224 0.442857
bmass10_becc32 -1.961224 0.457143
bmass10_becc33 -1.961224 0.471429
bmass10_becc34 -1.961224 0.485714
bmass10_becc35 -1.961224 0.500000
bmass10_becc36 -1.961224 0.514286
bmass10_becc37 -1.961224 0.528571
bmass10_becc38 -1.961224 0.542857
bmass10_becc39 -1.961224 0.557143
bmass10_becc40 -1.961224 0.571429
bmass10_becc41 -1.961224 0.585714
bmass10_becc42 -1.961224 0.600000
bmass10_becc43 -1.961224 0.614286
bmass10_becc44 -1.961224 0.628571
bmass10_becc45 -1.961224 0.642857
bmass10_becc46 -1.961224 0.657143
bmass10_becc47 -1.961224 0.671429
bmass10_becc48 -1.961224 0.685714
bmass10_becc49 -1.961224 0.700000
bmass11_becc00 -2.067347 0.000000
bmass11_becc01 -2.067347 0.014286
bmass11_becc02 -2.067347 0.028571
bmass11_becc03 -2.067347 0.042857
bmass11_becc04 -2.067347 0.057143
bmass11_becc05 -2.067347 0.071429
bmass11_becc06 -2.067347 0.085714
bmass11_becc07 -2.067347 0.100000
bmass11_becc08 -2.067347 0.114286
bmass11_becc09 -2.067347 0.128571
bmass11_becc10 -2.067347 0.142857
bmass11_becc11 -2.067347 0.157143
bmass11_becc12 -2.067347 0.171429
bmass11_becc13 -2.067347 0.185714
bmass11_becc14 -2.067347 0.200000
bmass11_becc15 -2.067347 0.214286
bmass11_becc16 -2.067347 0.228571
bmass11_becc17 -2.067347 0.242857
bmass11_becc18 -2.067347 0.257143
bmass11_becc19 -2.067347 0.271429
bmass11_becc20 -2.067347 0.285714
bmass11_becc21 -2.067347 0.300000
bmass11_becc22 -2.067347 0.314286
bmass11_becc23 -2.067347 0.328571
bmass11_becc24 -2.067347 0.342857
bmass11_becc25 -2.067347 0.357143
bmass11_becc26 -2.067347 0.371429
bmass11_becc27 -2.067347 0.385714
bmass11_becc28 -2.067347 0.400000
bmass11_becc29 -2.067347 0.414286
bmass11_becc30 -2.067347 0.428571
bmass11_becc31 -2.067347 0.442857
