trial b/dMass b/dEcc 
bmass17_becc16 -3.006897 0.165517
bmass17_becc17 -3.006897 0.175862
bmass17_becc18 -3.006897 0.186207
bmass17_becc19 -3.006897 0.196552
bmass17_becc20 -3.006897 0.206897
bmass17_becc21 -3.006897 0.217241
bmass17_becc22 -3.006897 0.227586
bmass17_becc23 -3.006897 0.237931
bmass17_becc24 -3.006897 0.248276
bmass17_becc25 -3.006897 0.258621
bmass17_becc26 -3.006897 0.268966
bmass17_becc27 -3.006897 0.279310
bmass17_becc28 -3.006897 0.289655
bmass17_becc29 -3.006897 0.300000
bmass18_becc00 -3.089655 0.000000
bmass18_becc01 -3.089655 0.010345
bmass18_becc02 -3.089655 0.020690
bmass18_becc03 -3.089655 0.031034
bmass18_becc04 -3.089655 0.041379
bmass18_becc05 -3.089655 0.051724
bmass18_becc06 -3.089655 0.062069
bmass18_becc07 -3.089655 0.072414
bmass18_becc08 -3.089655 0.082759
bmass18_becc09 -3.089655 0.093103
bmass18_becc10 -3.089655 0.103448
bmass18_becc11 -3.089655 0.113793
bmass18_becc12 -3.089655 0.124138
bmass18_becc13 -3.089655 0.134483
bmass18_becc14 -3.089655 0.144828
bmass18_becc15 -3.089655 0.155172
bmass18_becc16 -3.089655 0.165517
bmass18_becc17 -3.089655 0.175862
bmass18_becc18 -3.089655 0.186207
bmass18_becc19 -3.089655 0.196552
bmass18_becc20 -3.089655 0.206897
bmass18_becc21 -3.089655 0.217241
bmass18_becc22 -3.089655 0.227586
bmass18_becc23 -3.089655 0.237931
bmass18_becc24 -3.089655 0.248276
bmass18_becc25 -3.089655 0.258621
bmass18_becc26 -3.089655 0.268966
bmass18_becc27 -3.089655 0.279310
bmass18_becc28 -3.089655 0.289655
bmass18_becc29 -3.089655 0.300000
bmass19_becc00 -3.172414 0.000000
bmass19_becc01 -3.172414 0.010345
bmass19_becc02 -3.172414 0.020690
bmass19_becc03 -3.172414 0.031034
bmass19_becc04 -3.172414 0.041379
bmass19_becc05 -3.172414 0.051724
bmass19_becc06 -3.172414 0.062069
bmass19_becc07 -3.172414 0.072414
bmass19_becc08 -3.172414 0.082759
bmass19_becc09 -3.172414 0.093103
bmass19_becc10 -3.172414 0.103448
bmass19_becc11 -3.172414 0.113793
bmass19_becc12 -3.172414 0.124138
bmass19_becc13 -3.172414 0.134483
bmass19_becc14 -3.172414 0.144828
bmass19_becc15 -3.172414 0.155172
bmass19_becc16 -3.172414 0.165517
